choices_id;question_id
42;1
43;1
44;1
45;1
46;1
1;2
2;2
3;3
4;3
5;3
6;3
7;3
8;3
9;3
10;4
11;4
12;4
13;4
14;4
15;4
16;5
17;5
18;6
19;6
20;6
21;6
22;6
23;17
24;17
25;17
26;17
27;25
28;25
29;25
30;25
31;25
36;40
37;40
38;40
39;40
40;40
36;50
37;50
38;50
39;50
40;50
36;52
37;52
38;52
39;52
40;52
36;55
37;55
38;55
39;55
40;55
36;60
37;60
38;60
39;60
40;60
36;66
37;66
38;66
39;66
40;66
36;71
37;71
38;71
39;71
40;71
36;76
37;76
38;76
39;76
40;76
36;83
37;83
38;83
39;83
40;83
36;87
37;87
38;87
39;87
40;87
36;93
37;93
38;93
39;93
40;93
36;99
37;99
38;99
39;99
40;99
36;105
37;105
38;105
39;105
40;105
36;111
37;111
38;111
39;111
40;111
41;130
47;2
48;2
49;140
50;140
51;140
52;140
53;140
54;140
55;140
56;140
57;141
58;141
59;141
60;141
61;141
62;141
63;141
64;141
65;141
66;141
67;141
68;141
69;141
70;141
71;141
